Skill,Type,Employment_type,Seniority_level,company_name,job_country,job_position,job_posting_date
crude oil,BUSINESS,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
gas,BUSINESS,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
crude oil,BUSINESS,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
gas,BUSINESS,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
gas,BUSINESS,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
power generation,BUSINESS,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
marketing,BUSINESS,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
crude oilrochemical,BUSINESS,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
human resources,BUSINESS,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
finance,BUSINESS,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
information technology,TECHNICAL,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
programming,TECHNOLOGY,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
ai,TECHNICAL,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
design,BUSINESS,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
computing,TECHNICAL,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
design,BUSINESS,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
data models,TECHNOLOGY,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
data analytics,TECHNICAL,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
databases,TECHNOLOGY,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
data systems,TECHNICAL,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
reporting,TECHNICAL,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
environment,BUSINESS,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
data science,TECHNICAL,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
computer science,TECHNICAL,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
data science,TECHNICAL,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
r,TECHNOLOGY,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
sql,TECHNOLOGY,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
python,TECHNOLOGY,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
ai,TECHNICAL,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
data visualization,TECHNICAL,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
bi,TECHNOLOGY,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
tableau,TECHNOLOGY,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
mathematics,TECHNICAL,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
statistics,TECHNICAL,Full-time,Entry level,Halian,Saudi Arabia,Data Science Specialist,2023-05-16
financial services,BUSINESS,Full-time,Entry level,Halian,Saudi Arabia,Data Science Specialist,2023-05-16
data science,TECHNICAL,Full-time,Entry level,Halian,Saudi Arabia,Data Science Specialist,2023-05-16
strategy,SOFT,Full-time,Entry level,Halian,Saudi Arabia,Data Science Specialist,2023-05-16
technical requirements,TECHNICAL,Full-time,Entry level,Halian,Saudi Arabia,Data Science Specialist,2023-05-16
databases,TECHNOLOGY,Full-time,Entry level,Halian,Saudi Arabia,Data Science Specialist,2023-05-16
optimization,TECHNICAL,Full-time,Entry level,Halian,Saudi Arabia,Data Science Specialist,2023-05-16
product development,BUSINESS,Full-time,Entry level,Halian,Saudi Arabia,Data Science Specialist,2023-05-16
marketing,BUSINESS,Full-time,Entry level,Halian,Saudi Arabia,Data Science Specialist,2023-05-16
data gathering,TECHNICAL,Full-time,Entry level,Halian,Saudi Arabia,Data Science Specialist,2023-05-16
data models,TECHNOLOGY,Full-time,Entry level,Halian,Saudi Arabia,Data Science Specialist,2023-05-16
algorithms,TECHNICAL,Full-time,Entry level,Halian,Saudi Arabia,Data Science Specialist,2023-05-16
testing,TECHNICAL,Full-time,Entry level,Halian,Saudi Arabia,Data Science Specialist,2023-05-16
model quality,TECHNOLOGY,Full-time,Entry level,Halian,Saudi Arabia,Data Science Specialist,2023-05-16
data mining,TECHNICAL,Full-time,Entry level,Halian,Saudi Arabia,Data Science Specialist,2023-05-16
customer,TECHNICAL,Full-time,Entry level,Halian,Saudi Arabia,Data Science Specialist,2023-05-16
marketing,BUSINESS,Full-time,Entry level,Halian,Saudi Arabia,Data Science Specialist,2023-05-16
optimization,TECHNICAL,Full-time,Entry level,Halian,Saudi Arabia,Data Science Specialist,2023-05-16
risk management,BUSINESS,Full-time,Entry level,Halian,Saudi Arabia,Data Science Specialist,2023-05-16
data quality,TECHNOLOGY,Full-time,Entry level,Halian,Saudi Arabia,Data Science Specialist,2023-05-16
data analysis,TECHNICAL,Full-time,Entry level,Halian,Saudi Arabia,Data Science Specialist,2023-05-16
dashboards,TECHNICAL,Full-time,Entry level,Halian,Saudi Arabia,Data Science Specialist,2023-05-16
adoption,BUSINESS,Full-time,Entry level,Halian,Saudi Arabia,Data Science Specialist,2023-05-16
data mining,TECHNICAL,Full-time,Entry level,Halian,Saudi Arabia,Data Science Specialist,2023-05-16
data mining,TECHNICAL,Full-time,Entry level,Halian,Saudi Arabia,Data Science Specialist,2023-05-16
presentations,BUSINESS,Full-time,Entry level,Halian,Saudi Arabia,Data Science Specialist,2023-05-16
process improvement,BUSINESS,Full-time,Entry level,Halian,Saudi Arabia,Data Science Specialist,2023-05-16
business,TECHNICAL,Full-time,Entry level,Halian,Saudi Arabia,Data Science Specialist,2023-05-16
data management development,TECHNICAL,Full-time,Entry level,Halian,Saudi Arabia,Data Science Specialist,2023-05-16
design,BUSINESS,Full-time,Entry level,Halian,Saudi Arabia,Data Science Specialist,2023-05-16
customer insight,TECHNICAL,Full-time,Entry level,Halian,Saudi Arabia,Data Science Specialist,2023-05-16
communication,SOFT,Full-time,Entry level,Halian,Saudi Arabia,Data Science Specialist,2023-05-16
metadata,TECHNICAL,Full-time,Entry level,Garima Interprises,Saudi Arabia,Data Scientist,2023-06-02
data analytics data,TECHNICAL,Full-time,Entry level,Garima Interprises,Saudi Arabia,Data Scientist,2023-06-02
data analytics,TECHNICAL,Full-time,Entry level,Garima Interprises,Saudi Arabia,Data Scientist,2023-06-02
business,BUSINESS,Full-time,Entry level,Garima Interprises,Saudi Arabia,Data Scientist,2023-06-02
machine learning,TECHNICAL,Full-time,Entry level,Garima Interprises,Saudi Arabia,Data Scientist,2023-06-02
applied mathematics,TECHNICAL,Full-time,Entry level,Garima Interprises,Saudi Arabia,Data Scientist,2023-06-02
statistics,TECHNICAL,Full-time,Entry level,Garima Interprises,Saudi Arabia,Data Scientist,2023-06-02
statistics,TECHNICAL,Full-time,Entry level,Garima Interprises,Saudi Arabia,Data Scientist,2023-06-02
linear algebra,TECHNICAL,Full-time,Entry level,Garima Interprises,Saudi Arabia,Data Scientist,2023-06-02
data analytics data,TECHNICAL,Full-time,Entry level,Garima Interprises,Saudi Arabia,Data Scientist,2023-05-11
data analytics,TECHNICAL,Full-time,Entry level,Garima Interprises,Saudi Arabia,Data Scientist,2023-05-11
business,BUSINESS,Full-time,Entry level,Garima Interprises,Saudi Arabia,Data Scientist,2023-05-11
machine learning,TECHNICAL,Full-time,Entry level,Garima Interprises,Saudi Arabia,Data Scientist,2023-05-11
applied mathematics,TECHNICAL,Full-time,Entry level,Garima Interprises,Saudi Arabia,Data Scientist,2023-05-11
statistics,TECHNICAL,Full-time,Entry level,Garima Interprises,Saudi Arabia,Data Scientist,2023-05-11
statistics,TECHNICAL,Full-time,Entry level,Garima Interprises,Saudi Arabia,Data Scientist,2023-05-11
linear algebra,TECHNICAL,Full-time,Entry level,Garima Interprises,Saudi Arabia,Data Scientist,2023-05-11
energy industry,BUSINESS,Full-time,Entry level,Energy Jobline,Saudi Arabia,Data Scientist Engineer,2023-06-07
oil and,BUSINESS,Full-time,Entry level,Energy Jobline,Saudi Arabia,Data Scientist Engineer,2023-06-07
gas,BUSINESS,Full-time,Entry level,Energy Jobline,Saudi Arabia,Data Scientist Engineer,2023-06-07
hydrocarbon,BUSINESS,Full-time,Entry level,Energy Jobline,Saudi Arabia,Data Scientist Engineer,2023-06-07
gas operations,BUSINESS,Full-time,Entry level,Energy Jobline,Saudi Arabia,Data Scientist Engineer,2023-06-07
technical support,TECHNICAL,Full-time,Entry level,Energy Jobline,Saudi Arabia,Data Scientist Engineer,2023-06-07
gas operations,BUSINESS,Full-time,Entry level,Energy Jobline,Saudi Arabia,Data Scientist Engineer,2023-06-07
technical support,TECHNICAL,Full-time,Entry level,Energy Jobline,Saudi Arabia,Data Scientist Engineer,2023-06-07
planning,TECHNICAL,Full-time,Entry level,Energy Jobline,Saudi Arabia,Data Scientist Engineer,2023-06-07
digital transformation,TECHNICAL,Full-time,Entry level,Energy Jobline,Saudi Arabia,Data Scientist Engineer,2023-06-07
gas,BUSINESS,Full-time,Entry level,Energy Jobline,Saudi Arabia,Data Scientist Engineer,2023-06-07
digital transformation,TECHNICAL,Full-time,Entry level,Energy Jobline,Saudi Arabia,Data Scientist Engineer,2023-06-07
modeling,TECHNICAL,Full-time,Entry level,Energy Jobline,Saudi Arabia,Data Scientist Engineer,2023-06-07
machine learning,TECHNICAL,Full-time,Entry level,Energy Jobline,Saudi Arabia,Data Scientist Engineer,2023-06-07
prototyping,TECHNICAL,Full-time,Entry level,Energy Jobline,Saudi Arabia,Data Scientist Engineer,2023-06-07
ar,TECHNOLOGY,Full-time,Entry level,Energy Jobline,Saudi Arabia,Data Scientist Engineer,2023-06-07
vr,TECHNOLOGY,Full-time,Entry level,Energy Jobline,Saudi Arabia,Data Scientist Engineer,2023-06-07
ai,TECHNICAL,Full-time,Entry level,Energy Jobline,Saudi Arabia,Data Scientist Engineer,2023-06-07
digital,TECHNICAL,Full-time,Entry level,Energy Jobline,Saudi Arabia,Data Scientist Engineer,2023-06-07
modeling,TECHNICAL,Full-time,Entry level,Energy Jobline,Saudi Arabia,Data Scientist Engineer,2023-06-07
machine learning,TECHNICAL,Full-time,Entry level,Energy Jobline,Saudi Arabia,Data Scientist Engineer,2023-06-07
prototyping,TECHNICAL,Full-time,Entry level,Energy Jobline,Saudi Arabia,Data Scientist Engineer,2023-06-07
ar,TECHNOLOGY,Full-time,Entry level,Energy Jobline,Saudi Arabia,Data Scientist Engineer,2023-06-07
vr,TECHNOLOGY,Full-time,Entry level,Energy Jobline,Saudi Arabia,Data Scientist Engineer,2023-06-07
ai,TECHNICAL,Full-time,Entry level,Energy Jobline,Saudi Arabia,Data Scientist Engineer,2023-06-07
software,TECHNICAL,Full-time,Entry level,Energy Jobline,Saudi Arabia,Data Scientist Engineer,2023-06-07
digital transformation,TECHNICAL,Full-time,Entry level,Energy Jobline,Saudi Arabia,Data Scientist Engineer,2023-06-07
knowledge sharing,SOFT,Full-time,Entry level,Energy Jobline,Saudi Arabia,Data Scientist Engineer,2023-06-07
data science,TECHNICAL,Full-time,Entry level,Energy Jobline,Saudi Arabia,Data Scientist Engineer,2023-06-07
reliability,SOFT,Full-time,Entry level,Energy Jobline,Saudi Arabia,Data Scientist Engineer,2023-06-07
working experience,TECHNICAL,Full-time,Entry level,nybl,Saudi Arabia,Data Analyst / Data Scientist,2023-05-05
artificial intelligence,TECHNICAL,Full-time,Entry level,nybl,Saudi Arabia,Data Analyst / Data Scientist,2023-05-05
ai,TECHNICAL,Full-time,Entry level,nybl,Saudi Arabia,Data Analyst / Data Scientist,2023-05-05
internet of things,TECHNOLOGY,Full-time,Entry level,nybl,Saudi Arabia,Data Analyst / Data Scientist,2023-05-05
iot,TECHNOLOGY,Full-time,Entry level,nybl,Saudi Arabia,Data Analyst / Data Scientist,2023-05-05
algorithms,TECHNICAL,Full-time,Entry level,nybl,Saudi Arabia,Data Analyst / Data Scientist,2023-05-05
design,BUSINESS,Full-time,Entry level,nybl,Saudi Arabia,Data Analyst / Data Scientist,2023-05-05
machine learning,TECHNICAL,Full-time,Entry level,nybl,Saudi Arabia,Data Analyst / Data Scientist,2023-05-05
data mining,TECHNICAL,Full-time,Entry level,nybl,Saudi Arabia,Data Analyst / Data Scientist,2023-05-05
communication,SOFT,Full-time,Entry level,nybl,Saudi Arabia,Data Analyst / Data Scientist,2023-05-05
data collection,TECHNICAL,Full-time,Entry level,nybl,Saudi Arabia,Data Analyst / Data Scientist,2023-05-05
algorithms,TECHNICAL,Full-time,Entry level,nybl,Saudi Arabia,Data Analyst / Data Scientist,2023-05-05
education,BUSINESS,Full-time,Entry level,nybl,Saudi Arabia,Data Analyst / Data Scientist,2023-05-05
data mining,TECHNICAL,Full-time,Entry level,nybl,Saudi Arabia,Data Analyst / Data Scientist,2023-05-05
python,TECHNOLOGY,Full-time,Entry level,nybl,Saudi Arabia,Data Analyst / Data Scientist,2023-05-05
r,TECHNOLOGY,Full-time,Entry level,nybl,Saudi Arabia,Data Analyst / Data Scientist,2023-05-05
sql,TECHNOLOGY,Full-time,Entry level,nybl,Saudi Arabia,Data Analyst / Data Scientist,2023-05-05
machine learning,TECHNICAL,Full-time,Entry level,nybl,Saudi Arabia,Data Analyst / Data Scientist,2023-05-05
neural networks,TECHNICAL,Full-time,Entry level,nybl,Saudi Arabia,Data Analyst / Data Scientist,2023-05-05
computer vision,TECHNICAL,Full-time,Entry level,nybl,Saudi Arabia,Data Analyst / Data Scientist,2023-05-05
image processing,TECHNICAL,Full-time,Entry level,nybl,Saudi Arabia,Data Analyst / Data Scientist,2023-05-05
text analysis,TECHNICAL,Full-time,Entry level,nybl,Saudi Arabia,Data Analyst / Data Scientist,2023-05-05
big,TECHNOLOGY,Full-time,Entry level,nybl,Saudi Arabia,Data Analyst / Data Scientist,2023-05-05
data analysis,TECHNICAL,Full-time,Entry level,nybl,Saudi Arabia,Data Analyst / Data Scientist,2023-05-05
distributed,TECHNICAL,Full-time,Entry level,nybl,Saudi Arabia,Data Analyst / Data Scientist,2023-05-05
computing,TECHNICAL,Full-time,Entry level,nybl,Saudi Arabia,Data Analyst / Data Scientist,2023-05-05
hadoop,TECHNOLOGY,Full-time,Entry level,nybl,Saudi Arabia,Data Analyst / Data Scientist,2023-05-05
hive,TECHNOLOGY,Full-time,Entry level,nybl,Saudi Arabia,Data Analyst / Data Scientist,2023-05-05
programming languages,TECHNOLOGY,Full-time,Entry level,nybl,Saudi Arabia,Data Analyst / Data Scientist,2023-05-05
c,TECHNOLOGY,Full-time,Entry level,nybl,Saudi Arabia,Data Analyst / Data Scientist,2023-05-05
c,TECHNOLOGY,Full-time,Entry level,nybl,Saudi Arabia,Data Analyst / Data Scientist,2023-05-05
java,TECHNOLOGY,Full-time,Entry level,nybl,Saudi Arabia,Data Analyst / Data Scientist,2023-05-05
web development,TECHNICAL,Full-time,Entry level,nybl,Saudi Arabia,Data Analyst / Data Scientist,2023-05-05
javascript,TECHNOLOGY,Full-time,Entry level,nybl,Saudi Arabia,Data Analyst / Data Scientist,2023-05-05
google analytics,TECHNOLOGY,Full-time,Entry level,nybl,Saudi Arabia,Data Analyst / Data Scientist,2023-05-05
machine learning,TECHNICAL,Full-time,Entry level,nybl,Saudi Arabia,Data Analyst / Data Scientist,2023-05-05
learning,SOFT,Full-time,Entry level,nybl,Saudi Arabia,Data Analyst / Data Scientist,2023-05-05
artificial,TECHNICAL,Full-time,Entry level,nybl,Saudi Arabia,Data Analyst / Data Scientist,2023-05-05
neural networks,TECHNICAL,Full-time,Entry level,Niharika Enterprises,Saudi Arabia,Data Scientist,2023-06-03
data analytics,TECHNICAL,Full-time,Entry level,Niharika Enterprises,Saudi Arabia,Data Scientist,2023-06-03
interpreting data,TECHNICAL,Full-time,Entry level,Niharika Enterprises,Saudi Arabia,Data Scientist,2023-06-03
data analytics,TECHNICAL,Full-time,Entry level,Niharika Enterprises,Saudi Arabia,Data Scientist,2023-06-03
business,BUSINESS,Full-time,Entry level,Niharika Enterprises,Saudi Arabia,Data Scientist,2023-06-03
machine learning,TECHNICAL,Full-time,Entry level,Niharika Enterprises,Saudi Arabia,Data Scientist,2023-06-03
applied mathematics,TECHNICAL,Full-time,Entry level,Niharika Enterprises,Saudi Arabia,Data Scientist,2023-06-03
statistics,TECHNICAL,Full-time,Entry level,Niharika Enterprises,Saudi Arabia,Data Scientist,2023-06-03
statistics,TECHNICAL,Full-time,Entry level,Niharika Enterprises,Saudi Arabia,Data Scientist,2023-06-03
linear algebra,TECHNICAL,Full-time,Entry level,Niharika Enterprises,Saudi Arabia,Data Scientist,2023-06-03
hr,BUSINESS,Full-time,Entry level,Niharika Enterprises,Saudi Arabia,Data Scientist,2023-06-03
data analytics data,TECHNICAL,Full-time,Entry level,Garima Interprises,Saudi Arabia,Data Scientist,2023-06-06
data analytics,TECHNICAL,Full-time,Entry level,Garima Interprises,Saudi Arabia,Data Scientist,2023-06-06
business,BUSINESS,Full-time,Entry level,Garima Interprises,Saudi Arabia,Data Scientist,2023-06-06
machine learning,TECHNICAL,Full-time,Entry level,Garima Interprises,Saudi Arabia,Data Scientist,2023-06-06
applied mathematics,TECHNICAL,Full-time,Entry level,Garima Interprises,Saudi Arabia,Data Scientist,2023-06-06
statistics,TECHNICAL,Full-time,Entry level,Garima Interprises,Saudi Arabia,Data Scientist,2023-06-06
statistics,TECHNICAL,Full-time,Entry level,Garima Interprises,Saudi Arabia,Data Scientist,2023-06-06
linear algebra,TECHNICAL,Full-time,Entry level,Garima Interprises,Saudi Arabia,Data Scientist,2023-06-06
energy industry,BUSINESS,Full-time,Entry level,Armaco Chemical Processes Systems Pvt Ltd,Saudi Arabia,Data Scientist,2023-05-02
oil and,BUSINESS,Full-time,Entry level,Armaco Chemical Processes Systems Pvt Ltd,Saudi Arabia,Data Scientist,2023-05-02
gas,BUSINESS,Full-time,Entry level,Armaco Chemical Processes Systems Pvt Ltd,Saudi Arabia,Data Scientist,2023-05-02
hydrocarbon,BUSINESS,Full-time,Entry level,Armaco Chemical Processes Systems Pvt Ltd,Saudi Arabia,Data Scientist,2023-05-02
artificial intelligence,TECHNICAL,Full-time,Entry level,Armaco Chemical Processes Systems Pvt Ltd,Saudi Arabia,Data Scientist,2023-05-02
ai,TECHNICAL,Full-time,Entry level,Armaco Chemical Processes Systems Pvt Ltd,Saudi Arabia,Data Scientist,2023-05-02
analytics,TECHNICAL,Full-time,Entry level,Armaco Chemical Processes Systems Pvt Ltd,Saudi Arabia,Data Scientist,2023-05-02
ai,TECHNICAL,Full-time,Entry level,Armaco Chemical Processes Systems Pvt Ltd,Saudi Arabia,Data Scientist,2023-05-02
artificial intelligence,TECHNICAL,Full-time,Entry level,Armaco Chemical Processes Systems Pvt Ltd,Saudi Arabia,Data Scientist,2023-05-02
data science,TECHNICAL,Full-time,Entry level,Armaco Chemical Processes Systems Pvt Ltd,Saudi Arabia,Data Scientist,2023-05-02
consultations,BUSINESS,Full-time,Entry level,Armaco Chemical Processes Systems Pvt Ltd,Saudi Arabia,Data Scientist,2023-05-02
ai,TECHNICAL,Full-time,Entry level,Armaco Chemical Processes Systems Pvt Ltd,Saudi Arabia,Data Scientist,2023-05-02
ai,TECHNICAL,Full-time,Entry level,Armaco Chemical Processes Systems Pvt Ltd,Saudi Arabia,Data Scientist,2023-05-02
data science,TECHNICAL,Full-time,Entry level,Armaco Chemical Processes Systems Pvt Ltd,Saudi Arabia,Data Scientist,2023-05-02
optimization,TECHNICAL,Full-time,Entry level,Armaco Chemical Processes Systems Pvt Ltd,Saudi Arabia,Data Scientist,2023-05-02
product development,BUSINESS,Full-time,Entry level,Armaco Chemical Processes Systems Pvt Ltd,Saudi Arabia,Data Scientist,2023-05-02
data gathering,TECHNICAL,Full-time,Entry level,Armaco Chemical Processes Systems Pvt Ltd,Saudi Arabia,Data Scientist,2023-05-02
data models,TECHNOLOGY,Full-time,Entry level,Armaco Chemical Processes Systems Pvt Ltd,Saudi Arabia,Data Scientist,2023-05-02
algorithmsive,TECHNICAL,Full-time,Entry level,Armaco Chemical Processes Systems Pvt Ltd,Saudi Arabia,Data Scientist,2023-05-02
modeling,TECHNICAL,Full-time,Entry level,Armaco Chemical Processes Systems Pvt Ltd,Saudi Arabia,Data Scientist,2023-05-02
testing,TECHNICAL,Full-time,Entry level,Armaco Chemical Processes Systems Pvt Ltd,Saudi Arabia,Data Scientist,2023-05-02
model,TECHNOLOGY,Full-time,Entry level,Armaco Chemical Processes Systems Pvt Ltd,Saudi Arabia,Data Scientist,2023-05-02
documentation,TECHNOLOGY,Full-time,Entry level,Armaco Chemical Processes Systems Pvt Ltd,Saudi Arabia,Data Scientist,2023-05-02
data science,TECHNICAL,Full-time,Entry level,Armaco Chemical Processes Systems Pvt Ltd,Saudi Arabia,Data Scientist,2023-05-02
computer science,TECHNICAL,Full-time,Entry level,Armaco Chemical Processes Systems Pvt Ltd,Saudi Arabia,Data Scientist,2023-05-02
computer vision,TECHNICAL,Full-time,Entry level,Armaco Chemical Processes Systems Pvt Ltd,Saudi Arabia,Data Scientist,2023-05-02
applied mathematics,TECHNICAL,Full-time,Entry level,Energy Jobline,Saudi Arabia,Upstream Data Analytics Scientist,2023-06-07
energy industry,BUSINESS,Full-time,Entry level,Energy Jobline,Saudi Arabia,Upstream Data Analytics Scientist,2023-06-07
oil and,BUSINESS,Full-time,Entry level,Energy Jobline,Saudi Arabia,Upstream Data Analytics Scientist,2023-06-07
gas,BUSINESS,Full-time,Entry level,Energy Jobline,Saudi Arabia,Upstream Data Analytics Scientist,2023-06-07
hydrocarbon,BUSINESS,Full-time,Entry level,Energy Jobline,Saudi Arabia,Upstream Data Analytics Scientist,2023-06-07
data analytics,TECHNICAL,Full-time,Entry level,Energy Jobline,Saudi Arabia,Upstream Data Analytics Scientist,2023-06-07
assessment,BUSINESS,Full-time,Entry level,Energy Jobline,Saudi Arabia,Upstream Data Analytics Scientist,2023-06-07
reporting,TECHNICAL,Full-time,Entry level,Energy Jobline,Saudi Arabia,Upstream Data Analytics Scientist,2023-06-07
business,BUSINESS,Full-time,Entry level,Energy Jobline,Saudi Arabia,Upstream Data Analytics Scientist,2023-06-07
planning,TECHNICAL,Full-time,Entry level,Energy Jobline,Saudi Arabia,Upstream Data Analytics Scientist,2023-06-07
data analytics,TECHNICAL,Full-time,Entry level,Energy Jobline,Saudi Arabia,Upstream Data Analytics Scientist,2023-06-07
business intelligence,TECHNOLOGY,Full-time,Entry level,Energy Jobline,Saudi Arabia,Upstream Data Analytics Scientist,2023-06-07
dashboards,TECHNICAL,Full-time,Entry level,Energy Jobline,Saudi Arabia,Upstream Data Analytics Scientist,2023-06-07
analytics,TECHNICAL,Full-time,Entry level,Energy Jobline,Saudi Arabia,Upstream Data Analytics Scientist,2023-06-07
visualization,TECHNICAL,Full-time,Entry level,Energy Jobline,Saudi Arabia,Upstream Data Analytics Scientist,2023-06-07
art,BUSINESS,Full-time,Entry level,Energy Jobline,Saudi Arabia,Upstream Data Analytics Scientist,2023-06-07
data management,TECHNICAL,Full-time,Entry level,Energy Jobline,Saudi Arabia,Upstream Data Analytics Scientist,2023-06-07
artificial intelligence,TECHNICAL,Full-time,Entry level,Energy Jobline,Saudi Arabia,Upstream Data Analytics Scientist,2023-06-07
machine learning,TECHNICAL,Full-time,Entry level,Energy Jobline,Saudi Arabia,Upstream Data Analytics Scientist,2023-06-07
design,BUSINESS,Full-time,Entry level,Energy Jobline,Saudi Arabia,Upstream Data Analytics Scientist,2023-06-07
business,TECHNICAL,Full-time,Entry level,Energy Jobline,Saudi Arabia,Upstream Data Analytics Scientist,2023-06-07
intelligence,TECHNOLOGY,Full-time,Entry level,Energy Jobline,Saudi Arabia,Upstream Data Analytics Scientist,2023-06-07
dashboards,TECHNICAL,Full-time,Entry level,Energy Jobline,Saudi Arabia,Upstream Data Analytics Scientist,2023-06-07
datasets,TECHNICAL,Full-time,Entry level,Energy Jobline,Saudi Arabia,Upstream Data Analytics Scientist,2023-06-07
business intelligence,TECHNOLOGY,Full-time,Entry level,Energy Jobline,Saudi Arabia,Upstream Data Analytics Scientist,2023-06-07
artificial intelligence,TECHNICAL,Full-time,Entry level,Energy Jobline,Saudi Arabia,Upstream Data Analytics Scientist,2023-06-07
machine learning,TECHNICAL,Full-time,Entry level,Energy Jobline,Saudi Arabia,Upstream Data Analytics Scientist,2023-06-07
modeling,TECHNICAL,Full-time,Entry level,Energy Jobline,Saudi Arabia,Upstream Data Analytics Scientist,2023-06-07
business intelligence,TECHNICAL,Full-time,Entry level,Energy Jobline,Saudi Arabia,Upstream Data Analytics Scientist,2023-06-07
dashboards life cycle,TECHNICAL,Full-time,Entry level,Energy Jobline,Saudi Arabia,Upstream Data Analytics Scientist,2023-06-07
security,TECHNICAL,Full-time,Entry level,Energy Jobline,Saudi Arabia,Upstream Data Analytics Scientist,2023-06-07
business,TECHNICAL,Full-time,Entry level,Energy Jobline,Saudi Arabia,Upstream Data Analytics Scientist,2023-06-07
intelligence,TECHNOLOGY,Full-time,Entry level,Energy Jobline,Saudi Arabia,Upstream Data Analytics Scientist,2023-06-07
machine learning,TECHNICAL,Full-time,Entry level,Energy Jobline,Saudi Arabia,Upstream Data Analytics Scientist,2023-06-07
data science,TECHNICAL,Full-time,Entry level,Energy Jobline,Saudi Arabia,Upstream Data Analytics Scientist,2023-06-07
development projects,BUSINESS,Full-time,Mid-Senior level,Jobs for Humanity,Saudi Arabia,Data Scientist,2023-06-06
design,BUSINESS,Full-time,Mid-Senior level,Jobs for Humanity,Saudi Arabia,Data Scientist,2023-06-06
sampling,TECHNICAL,Full-time,Mid-Senior level,Jobs for Humanity,Saudi Arabia,Data Scientist,2023-06-06
data,TECHNICAL,Full-time,Mid-Senior level,Jobs for Humanity,Saudi Arabia,Data Scientist,2023-06-06
validation,BUSINESS,Full-time,Mid-Senior level,Jobs for Humanity,Saudi Arabia,Data Scientist,2023-06-06
quality control,TECHNICAL,Full-time,Mid-Senior level,Jobs for Humanity,Saudi Arabia,Data Scientist,2023-06-06
data quality,TECHNOLOGY,Full-time,Mid-Senior level,Jobs for Humanity,Saudi Arabia,Data Scientist,2023-06-06
data integrity,TECHNICAL,Full-time,Mid-Senior level,Jobs for Humanity,Saudi Arabia,Data Scientist,2023-06-06
datasets,TECHNICAL,Full-time,Mid-Senior level,Jobs for Humanity,Saudi Arabia,Data Scientist,2023-06-06
data,TECHNICAL,Full-time,Mid-Senior level,Jobs for Humanity,Saudi Arabia,Data Scientist,2023-06-06
communication,SOFT,Full-time,Mid-Senior level,Jobs for Humanity,Saudi Arabia,Data Scientist,2023-06-06
data visualization,TECHNICAL,Full-time,Mid-Senior level,Jobs for Humanity,Saudi Arabia,Data Scientist,2023-06-06
methodology,TECHNICAL,Full-time,Mid-Senior level,Jobs for Humanity,Saudi Arabia,Data Scientist,2023-06-06
software,TECHNICAL,Full-time,Mid-Senior level,Jobs for Humanity,Saudi Arabia,Data Scientist,2023-06-06
