job_position,job_link,company_name,company_profile,job_location,job_posting_date
Data Analyst,https://uk.linkedin.com/jobs/view/data-analyst-at-burns-sheehan-3646939731?refId=OWsbIhs2WV%2B16OZRaEySQw%3D%3D&trackingId=ivK1P7bD1qm%2FC3wS5wNrDw%3D%3D&position=19&pageNum=4&trk=public_jobs_jserp-result_search-card,Burns Sheehan,https://uk.linkedin.com/company/jcl-burns-sheehan?trk=public_jobs_jserp-result_job-search-card-subtitle,"Salford, England, United Kingdom",2023-06-26
Data Scientist : Fintech,https://uk.linkedin.com/jobs/view/data-scientist-fintech-at-tiptopjob-3633207201?refId=OWsbIhs2WV%2B16OZRaEySQw%3D%3D&trackingId=eUYMIl%2Bt67nbNjJGPS1qjA%3D%3D&position=20&pageNum=4&trk=public_jobs_jserp-result_search-card,TipTopJob,https://uk.linkedin.com/company/tiptopjob?trk=public_jobs_jserp-result_job-search-card-subtitle,"London, England, United Kingdom",2023-06-09
Data Science Lead,https://uk.linkedin.com/jobs/view/data-science-lead-at-whitbread-3633543092?refId=OWsbIhs2WV%2B16OZRaEySQw%3D%3D&trackingId=Osyy%2B1%2Fjw%2F0g37nEFV%2B4fg%3D%3D&position=21&pageNum=4&trk=public_jobs_jserp-result_search-card,Whitbread,https://uk.linkedin.com/company/whitbread?trk=public_jobs_jserp-result_job-search-card-subtitle,"Dunstable, England, United Kingdom",2023-06-17
Data Analyst,https://uk.linkedin.com/jobs/view/data-analyst-at-akari-care-3652850544?refId=OWsbIhs2WV%2B16OZRaEySQw%3D%3D&trackingId=DdQLgjXyFOOT2n2NgG%2Btvg%3D%3D&position=22&pageNum=4&trk=public_jobs_jserp-result_search-card,Akari Care,https://uk.linkedin.com/company/akaricare?trk=public_jobs_jserp-result_job-search-card-subtitle,"Holbeck, England, United Kingdom",2023-06-30
Lead ML Researcher (Chemistry AI),https://uk.linkedin.com/jobs/view/lead-ml-researcher-chemistry-ai-at-cosyne-therapeutics-3646250303?refId=OWsbIhs2WV%2B16OZRaEySQw%3D%3D&trackingId=Fgblcv8jpi3uYUOODJHrrA%3D%3D&position=23&pageNum=4&trk=public_jobs_jserp-result_search-card,CoSyne Therapeutics,https://uk.linkedin.com/company/cosyne-therapeutics?trk=public_jobs_jserp-result_job-search-card-subtitle,"London, England, United Kingdom",2023-07-01
ML Research Engineer (Remote),https://uk.linkedin.com/jobs/view/ml-research-engineer-remote-at-unitary-3634206287?refId=OWsbIhs2WV%2B16OZRaEySQw%3D%3D&trackingId=DzN9aXbQ6wRvDMKFyYn74A%3D%3D&position=24&pageNum=4&trk=public_jobs_jserp-result_search-card,Unitary,https://uk.linkedin.com/company/unitaryai?trk=public_jobs_jserp-result_job-search-card-subtitle,"London, England, United Kingdom",2023-05-18
Data Scientist,https://uk.linkedin.com/jobs/view/data-scientist-at-idex-consulting-ltd-3646226543?refId=OWsbIhs2WV%2B16OZRaEySQw%3D%3D&trackingId=KRRmALEA5KTarqNeTyhjkQ%3D%3D&position=25&pageNum=4&trk=public_jobs_jserp-result_search-card,IDEX Consulting Ltd,https://uk.linkedin.com/company/idex-consulting-ltd?trk=public_jobs_jserp-result_job-search-card-subtitle,"London, England, United Kingdom",2023-06-06
Demand Planning Data Scientist,https://ie.linkedin.com/jobs/view/demand-planning-data-scientist-at-pepsico-3648903051?refId=0Q8rfACNHUdJUrM7SNvoRQ%3D%3D&trackingId=%2BzIa5xG3nB%2B1bUuQaB%2FXFQ%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card,PepsiCo,https://www.linkedin.com/company/pepsico?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cork, County Cork, Ireland",2023-06-27
Software Engineer- Python,https://ie.linkedin.com/jobs/view/software-engineer-python-at-brightwater-3288086401?refId=0Q8rfACNHUdJUrM7SNvoRQ%3D%3D&trackingId=xGg0YeiZFnrR%2BwWgqy4waw%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card,Brightwater,https://ie.linkedin.com/company/brightwater-recruitment?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cork, County Cork, Ireland",2023-05-10
Senior Data Scientist,https://ie.linkedin.com/jobs/view/senior-data-scientist-at-signify-health-ireland-3641762513?refId=0Q8rfACNHUdJUrM7SNvoRQ%3D%3D&trackingId=GpR0oMKW8hkjMINxsfCvmQ%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card,Signify Health Ireland,https://ie.linkedin.com/company/signify-health-ireland?trk=public_jobs_jserp-result_job-search-card-subtitle,"Galway, County Galway, Ireland",2023-05-28
Python Engineer – Gain Exposure to AI and FastAPI,https://ie.linkedin.com/jobs/view/python-engineer-%E2%80%93-gain-exposure-to-ai-and-fastapi-at-archer-the-it-recruitment-consultancy-3648395522?refId=0Q8rfACNHUdJUrM7SNvoRQ%3D%3D&trackingId=KDHbDugIm8gZGncVQwhuHQ%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card,Archer - The IT Recruitment Consultancy,https://ie.linkedin.com/company/archer?trk=public_jobs_jserp-result_job-search-card-subtitle,"Dublin, County Dublin, Ireland",2023-06-27
Python Developer,https://ie.linkedin.com/jobs/view/python-developer-at-harvey-nash-ireland-3650724433?refId=0Q8rfACNHUdJUrM7SNvoRQ%3D%3D&trackingId=E%2Fp6i5JciAKZhslFaSmvrg%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card,Harvey Nash Ireland,https://ie.linkedin.com/company/harvey-nash-ireland?trk=public_jobs_jserp-result_job-search-card-subtitle,"Dublin, County Dublin, Ireland",2023-06-29
Senior Scientist,https://ie.linkedin.com/jobs/view/senior-scientist-at-horizon-quantum-computing-3570050220?refId=0Q8rfACNHUdJUrM7SNvoRQ%3D%3D&trackingId=vkMOhJ%2BxfEcZTcV2kLmlhQ%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card,Horizon Quantum Computing,https://sg.linkedin.com/company/horizon-quantum-computing?trk=public_jobs_jserp-result_job-search-card-subtitle,"Dublin, County Dublin, Ireland",2023-04-18
R&D AI & ML Software Engineer,https://ie.linkedin.com/jobs/view/r-d-ai-ml-software-engineer-at-siemens-healthineers-3610842203?refId=0Q8rfACNHUdJUrM7SNvoRQ%3D%3D&trackingId=X9PwLNQcKbNoGfHrMyxqOw%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card,Siemens Healthineers,https://de.linkedin.com/company/siemens-healthineers?trk=public_jobs_jserp-result_job-search-card-subtitle,"Dublin, County Dublin, Ireland",2023-04-22
Senior Data Scientist,https://ie.linkedin.com/jobs/view/senior-data-scientist-at-morgan-mckinley-3612419656?refId=0Q8rfACNHUdJUrM7SNvoRQ%3D%3D&trackingId=Jm1VHzn%2FRSFjjXIheQ4wCA%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card,Morgan McKinley,https://ie.linkedin.com/company/morgan-mckinley?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cork, County Cork, Ireland",2023-05-19
Python Developer,https://ie.linkedin.com/jobs/view/python-developer-at-enea-ab-3639858630?refId=0Q8rfACNHUdJUrM7SNvoRQ%3D%3D&trackingId=a71tYXbIj6XmlCAX%2BBzmIg%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card,Enea AB,https://se.linkedin.com/company/enea-ab?trk=public_jobs_jserp-result_job-search-card-subtitle,"Dublin, County Dublin, Ireland",2023-06-19
